STREAM	MAXELEV	SAMPELEV	LENGTH	AREA	HEIGHT	NO3	TON	TN	NH4	DOC	SO4	CL	CA	MG	H
Santa Cruz	1006	680	1680	23	1	24,2	5,6	29,9	,8	180,4	50,6	15,5	54,7	14,4	,48
Colgate	1216	628	3912	462	1	25,4	4,9	30,3	1,4	108,8	55,4	16,4	58,4	17	,24
Halsey	1204	625	4032	297	1	29,7	4,4	33	,8	104,7	56,5	17,1	65,9	19,6	,47
Batavia Hill	1213	663	3072	399	1	22,1	6,1	28,3	1,4	84,5	57,5	16,8	59,5	19,5	,23
Windham Ridg	1074	616	2520	207	1	13,1	5,7	17,6	,6	82,4	58,3	18,3	54,6	21,9	,37
Silver Sprin	1113	451	3120	348	0	27,5	3	30,8	1,1	86,6	63	15,7	68,5	22,4	,17
Little Timbe	1027	463	2064	179	0	28,1	4,7	32,8	1,4	91,9	66,5	26,9	84,6	26,2	,14
Hunter	1234	634	4416	504	1	31,2	5,4	37,1	2,5	39,1	64,5	22	73,1	25,4	,14
West Kill	1234	658	3600	546	1	22,6	3,1	26	3,1	66,6	63,4	21,3	71,1	21,8	,16
Mill	1137	674	2856	279	1	35,9	4,9	39,8	1,4	59,3	58,4	29,8	91,2	22,2	,1
Kelly Hollow	1061	533	3960	516	1	35,9	2,9	40,8	,6	51,3	70,6	18,4	94,4	28,5	,11
Pigeon	1173	619	4608	706	1	22,4	5,8	28	1,1	93,7	56,9	16,6	59,4	16	,27
Biscuit	1125	619	5616	992	1	22,2	4	25,8	,8	83,5	56,7	16,6	46,7	17,5	,46
Fall	1018	530	7176	1263	1	20,5	3,9	23,3	,8	70,1	60,4	19,4	70	18,2	,22
Bear Hole	1171	363	6960	804	0	24,9	5,7	30,7	,8	67,4	67,8	19,9	43,9	25	,5
Buttermilk F	1076	405	2856	183	0	33,1	6,2	40,6	1,4	104,4	70,8	20,6	53,3	26,3	,5
Rondout	1171	454	6456	1686	0	23,4	3,8	26,5	1,1	61,2	58,6	21,5	35,6	19,6	1,33
Kanape	939	334	4704	766	0	10,2	5,9	16,7	2,2	40,2	59,5	25,5	60,3	30	,15
Woodland Val	1277	425	5280	1380	0	18,6	6,6	25,3	2,5	44,1	55,5	24,5	44,2	24,9	,35
Broadst Holl	1180	433	4752	996	0	19,5	6,8	27,1	3,3	70,8	63,4	22,4	78,4	27,7	,12
Pecoy	1161	591	2904	290	1	28	4,5	31,9	1,9	84,9	57,8	26,4	56,1	15,5	,5
Prediger	1030	610	2688	125	1	21,5	3,9	24,9	3,1	85,1	55,1	20,5	40,8	13,8	1,14
Bear Pen	1076	497	2544	209	0	22,6	7,7	30,8	1,7	99,5	65,5	13,4	72,5	25,7	,12
Weaver	1021	786	960	33	1	17,2	6,7	24	1,4	66,1	62,7	13	50,3	22,2	,37
BWS6	754	512	2016	144	1	3,8	5,7	10,9	1,9	51,3	72,1	18,7	73,4	30,1	,17
Halcott	1039	555	1584	107	1	20,9	6,2	27,6	2,2	66,8	63,4	24,6	62	27,4	,17
Tonshi	762	293	2976	267	0	2,1	5,6	8,3	1,7	82,4	68,5	78,8	54,5	34,7	,11
Grog Kill	863	271	3384	441	0	3	7,1	10,5	2,2	58,9	65,8	63,6	82,8	31,7	,09
Hollow Tree	1137	457	3096	492	0	36,1	3,9	40,4	1,9	42,7	69,2	22,3	81,8	26,5	,1
Lost Clove	1091	460	3000	413	0	22,4	5,8	28,4	2,2	45,4	66,7	18,6	70,4	28,8	,16
Black	1137	683	4416	376	1	34,4	2,8	36	1,4	49,5	59,3	14,9	68,6	18,7	,13
Styles	1186	576	3840	395	1	31,8	5,5	37,7	,8	83,3	61,1	17,8	69,4	22,5	,2
Warners	1173	418	8328	1835	0	21,6	3,6	25,3	1,4	65,4	62,1	34,4	76,8	24,6	,1
Kittle	957	567	1800	63	1	32,2	4,4	36,4	2,2	66,2	70,4	24,4	82,5	25,6	,16
Traver Hollo	887	311	3000	604	0	16,2	4,6	21,3	1,1	57,5	62,1	21,9	67,9	22,8	,13
Willowemoc	983	607	5472	915	1	19,8	3,2	22,8	1,4	42,7	64,6	16,4	75,5	16,5	,18
Myrtle	1219	475	4320	476	0	17,4	3,6	22,3	2,5	42,9	61,4	21	63,4	19,2	,14
Becker Hollo	1231	588	2664	376	1	26,9	4,7	30	2,5	55,8	56,9	20,9	58,6	18,2	,16
