Common Name	C-value	Order	
Cape golden mole	6.32	Afrosoricida	
Golden mole	4.10	Afrosoricida	
Addax	3.98	Artiodactyla	
Impala	4.69	Artiodactyla	
Buffalo	4.90	Artiodactyla	
Hariana cattle	3.31	Artiodactyla	
Banteng	3.75	Artiodactyla	
Domestic cattle	3.15	Artiodactyla	
Domestic cattle	3.43	Artiodactyla	
Domestic cattle	3.57	Artiodactyla	
Domestic cattle	3.60	Artiodactyla	
Domestic cattle	3.65	Artiodactyla	
Domestic cattle	3.70	Artiodactyla	
Domestic cattle	3.73	Artiodactyla	
Domestic cattle	3.79	Artiodactyla	
Domestic cattle	3.93	Artiodactyla	
Markhor	3.23	Artiodactyla	
Domestic goat	3.24	Artiodactyla	
Dama gazelle	3.48	Artiodactyla	
Grant's gazelle	3.30	Artiodactyla	
Gerenuk	3.66	Artiodactyla	
Sheep	2.34	Artiodactyla	
Sheep	2.57	Artiodactyla	
Sheep	3.30	Artiodactyla	
Sheep	3.33	Artiodactyla	
Sheep	3.50	Artiodactyla	
Sheep	3.41	Artiodactyla	
Lowland nyala	3.94	Artiodactyla	
Bactrian camel	2.41	Artiodactyla	
Two-humped camel	2.86	Artiodactyla	
Dromedary camel	2.62	Artiodactyla	
One-humped camel	2.97	Artiodactyla	
Llama	3.25	Artiodactyla	
Guanaco	3.21	Artiodactyla	
Vicu±a	3.24	Artiodactyla	
Barking deer	1.94	Artiodactyla	
Barking deer	3.15	Artiodactyla	
Barking deer	3.44	Artiodactyla	
Barking deer	3.32	Artiodactyla	
Indian muntjac	2.22	Artiodactyla	
Indian muntjac	2.53	Artiodactyla	
Indian muntjac	3.01	Artiodactyla	
Reeves's (Chinese) muntjac	2.85	Artiodactyla	
Reeves's (Chinese) muntjac	3.13	Artiodactyla	
Reindeer. caribou	3.41	Artiodactyla	
Giraffe	2.85	Artiodactyla	
Reticulated giraffe	2.69	Artiodactyla	
Domestic pig	2.98	Artiodactyla	
Domestic pig	2.99	Artiodactyla	
Domestic pig	3.00	Artiodactyla	
Domestic pig	3.03	Artiodactyla	
Domestic pig	3.15	Artiodactyla	
Domestic pig	3.21	Artiodactyla	
Domestic pig	3.47	Artiodactyla	
Domestic pig	3.51	Artiodactyla	
Vietnamese pot-bellied pig	2.81	Artiodactyla	
Domestic dog	2.80	Carnivora	
Domestic dog	2.85	Carnivora	
Domestic dog	3.88	Carnivora	
Domestic dog	2.96	Carnivora	
Domestic dog	3.09	Carnivora	
Domestic dog	3.19	Carnivora	
Domestic dog	3.60	Carnivora	
Domestic dog	3.26	Carnivora	
Domestic dog	3.43	Carnivora	
Domestic dog	3.84	Carnivora	
Coyote	2.82	Carnivora	
Timber wolf	2.81	Carnivora	
Red wolf	3.04	Carnivora	
African hunting dog	3.23	Carnivora	
Chinese raccoon dog	3.27	Carnivora	
Japanese raccoon dog	3.89	Carnivora	
Gray fox	3.07	Carnivora	
Red fox	2.85	Carnivora	
Cheetah	2.56	Carnivora	
Domestic cat	3.46	Carnivora	
Domestic cat	3.61	Carnivora	
Domestic cat	3.50	Carnivora	
Domestic cat	3.42	Carnivora	
Domestic cat	3.45	Carnivora	
Cougar	3.05	Carnivora	
Lynx	2.92	Carnivora	
Wildcat	2.92	Carnivora	
Wildcat	3.00	Carnivora	
Clouded leopard	3.77	Carnivora	
African lion	2.95	Carnivora	
Asian lion	3.83	Carnivora	
Tiger	2.71	Carnivora	
Siberian tiger	2.58	Carnivora	
Bengal tiger	2.72	Carnivora	
Bengal tiger	2.90	Carnivora	
Snow leopard	3.24	Carnivora	
Least weasel	3.68	Carnivora	
Domestic ferret	2.81	Carnivora	
California sea lion	3.85	Carnivora	
Spotted seal / Largha seal	3.94	Carnivora	
Raccoon	2.85	Carnivora	
Brown bear	2.75	Carnivora	
Himalayan black bear	2.75	Carnivora	
Bowhead whale	2.93	Cetacea	
Chinese white dolphin	3.46	Cetacea	
Bottlenose dolphin	3.03	Cetacea	
Bottlenose dolphin	3.27	Cetacea	
Chinese river dolphin / Baiji	3.91	Cetacea	
Beluga whale	3.29	Cetacea	
Yangtze finless porpoise	3.46	Cetacea	
Greater sac-winged bat	3.16	Chiroptera	
Tomb bat	2.18	Chiroptera	
Sundevall's leaf-nosed bat	2.44	Chiroptera	
Commerson's leaf-nosed bat	2.48	Chiroptera	
Cyclops leaf-nosed bat	2.72	Chiroptera	
Noack's leaf-nosed bat	2.65	Chiroptera	
Heart-nosed bat	2.72	Chiroptera	
Yellow-winged bat	2.35	Chiroptera	
Nigerian free-tailed bat	2.47	Chiroptera	
Little free-tailed bat	2.40	Chiroptera	
Greater bonneted bat	2.84	Chiroptera	
Mastiff bat	2.57	Chiroptera	
Pallas's mastiff bat	2.41	Chiroptera	
Black mastiff bat	2.72	Chiroptera	
Roberts's flat-headed bat	2.32	Chiroptera	
Mexican free-tailed bat	2.94	Chiroptera	
Peters's ghost-faced bat	2.83	Chiroptera	
Davy's naked-backed bat	2.28	Chiroptera	
Common mustached bat	2.35	Chiroptera	
Common mustached bat	2.63	Chiroptera	
Parnell's moustached bat	2.67	Chiroptera	
Parnell's mustached bat	2.71	Chiroptera	
Moustached bat	2.84	Chiroptera	
Wagner's mustached bat	2.43	Chiroptera	
Wagner's mustached bat	2.35	Chiroptera	
Greater funnel-eared bat	2.30	Chiroptera	
Lesser bulldog bat	2.28	Chiroptera	
Greater bulldog bat	2.37	Chiroptera	
Greater bulldog bat	2.63	Chiroptera	
Bates's slit-faced bat	2.83	Chiroptera	
Hairy slit-faced bat	2.81	Chiroptera	
Dja slit-faced bat	2.66	Chiroptera	
Tailed tailless bat	2.63	Chiroptera	
Tailed tailless bat	2.73	Chiroptera	
Geoffroy's tailless bat	2.63	Chiroptera	
Geoffroy's tailless bat	2.64	Chiroptera	
Gervais's fruit-eating bat	2.44	Chiroptera	
Silver fruit-eating bat	2.58	Chiroptera	
