"lengte"	"soort"
21.87	1
22.88	1
24.61	1
22.95	1
19.55	1
22.42	1
20.24	1
20.46	1
20.92	1
21.96	1
22.94	1
22.14	1
22.24	1
22.79	1
21.27	1
19.85	1
20.99	1
23.14	1
23.32	1
21.84	1
20.84	1
22.25	1
22.79	1
21.5	1
23.82	1
22.61	1
24.23	1
23.24	1
25	1
23.01	1
20.64	1
23.23	1
22.85	1
23.34	1
22.47	1
21.38	1
21.5	1
21.42	1
22.41	1
21.17	1
22.22	1
21.44	1
24.4	1
24.02	1
22.78	1
21.05	2
21.85	2
22.05	2
22.45	2
22.65	2
23.25	2
23.25	2
23.25	2
23.45	2
23.45	2
23.65	2
23.85	2
24.05	2
24.05	2
24.05	2
20.85	3
21.65	3
22.05	3
22.85	3
23.05	3
23.05	3
23.05	3
23.05	3
23.45	3
23.85	3
23.85	3
23.85	3
24.05	3
25.05	3
21.05	4
21.85	4
22.05	4
22.05	4
22.05	4
22.25	4
22.45	4
22.45	4
22.65	4
23.05	4
23.05	4
23.05	4
23.05	4
23.05	4
23.25	4
23.85	4
21.05	5
21.85	5
21.85	5
21.85	5
22.05	5
22.45	5
22.65	5
23.05	5
23.05	5
23.25	5
23.45	5
24.05	5
24.05	5
24.05	5
24.85	5
19.85	6
20.05	6
20.25	6
20.85	6
20.85	6
20.85	6
21.05	6
21.05	6
21.05	6
21.25	6
21.45	6
22.05	6
22.05	6
22.05	6
22.25	6
