pH,alcohol,quality
3.2,9.5,5
3.23,9.6,5
3.33,10,6
3.36,9.5,5
3.33,11.3,5
3.16,10.3,5
3.3,13.3,6
3.38,9.2,5
3.34,11.6,6
3.32,10.5,6
3.37,10.3,5
3.18,10.6,6
3.06,11,6
3.18,10.4,6
3.2,9.2,4
3.1,9.7,5
3.28,9.4,5
3.6,10.2,5
3.6,10.3,6
2.94,9.5,5
3.15,11,5
3.18,9,6
3.45,10.5,5
3,9.3,5
3.1,10.5,6
3.19,9.5,5
3.12,10,6
3.45,10.3,5
3.69,10.5,5
3.41,11.1,6
3.08,9.3,6
3.36,11.2,5
3.41,12.1,6
3.48,9.6,5
3.28,10,6
3.46,11.8,6
3.22,9.4,6
3.46,9.5,5
3.42,11.5,6
3.15,9.9,6
3.38,9.8,6
3.4,9.5,6
3.16,9.6,6
3.12,9.3,6
3.39,11,5
3.2,9.3,5
3.38,9,4
3.29,9.2,5
3.41,11.9,7
3.32,11.1,5
3.3,10.5,5
3.26,10.2,6
3.39,10.9,5
3.26,9.6,6
3.35,9.7,6
3.72,11.4,5
3.4,9.4,5
3.26,9.6,6
3.22,10,5
3.12,9.3,6
3.47,10.2,6
3.49,12.1,6
3.31,9.5,6
3.11,9.3,5
3.26,9.3,5
3.19,9.6,5
3.18,9.4,5
3.5,11.9,6
3.37,9.4,6
3.19,9.6,5
3.41,9.5,6
3.52,12.4,7
3.29,10.1,5
3.15,11,8
3.24,10.8,5
3.15,10.6,7
3.4,11,7
3.27,9.5,5
3.07,11.7,6
3.41,10.3,6
3.36,10.5,5
3.41,9.5,6
3.38,9.5,5
3.18,11.2,5
3.36,10.7,6
3.18,11,6
3.38,12.7,7
3.39,11.4,6
3.32,9,6
3.33,12,7
3.45,9.5,6
3.32,11,4
3.41,9.7,5
3.35,10.8,6
3.24,11.7,7
3.31,10.5,7
3.46,9.5,6
3.39,9.5,5
3.07,10.3,6
3.36,10.7,5
3.39,11,6
3.5,9.8,5
3.51,10.8,6
3.3,10.4,6
3.45,9.8,5
3.57,12.5,7
3.3,9.6,5
3.3,10.3,5
3.47,11,5
3.34,9.7,4
3.21,10.2,6
3.59,9.8,5
3.53,10.8,6
3.15,9.9,6
3.39,9.6,5
3.16,9.8,5
3.53,10.6,5
3.43,10,4
3.44,9.4,5
3.35,11,7
3.14,9.1,5
3.32,10,6
3.38,9.5,5
3.42,9.4,5
3.22,10,7
3.15,10.5,5
3.46,10.2,5
3.29,9.2,6
3.2,9.6,5
3.46,12.7,8
3.31,11,5
3.63,10.7,3
3.32,11.0666666666667,6
3.28,9.8,5
3.3,9.8,5
3.26,11,5
3.26,9.7,5
3.34,9.4,5
3.21,9.9,6
3.3,10.5,7
3.13,10.4,5
3.34,9.5,5
3.26,9.3,5
3.22,10.1,6
3.38,9.9,3
3.22,12.5,7
3.22,9.5,5
3.53,9.8,6
3.3,12.7,6
3.3,11.4,6
3.24,10.4,5
3.57,13,7
3.19,12.5,7
3.1,10.8,6
3.28,9.2,5
3.46,9.5,5
3.16,11.3,6
3.26,10,5
3.44,9.8,5
3.51,9.7,5
3.47,9.5,6
3.48,9.7,5
3.36,11,5
3.03,9.9,5
3.22,9.7,5
3.22,12,6
